No	Abbreviated Journal Title	Full Journal Title	ISSN	SUBJECT
2104	EUR J ONCOL NURS	EUROPEAN JOURNAL OF ONCOLOGY NURSING	1462-3889	NURSING
2105	EUR J OPER RES	EUROPEAN JOURNAL OF OPERATIONAL RESEARCH	0377-2217	OPERATIONS RESEARCH & MANAGEMENT SCIENCE
2106	EUR J ORAL IMPLANTOL	EUROPEAN JOURNAL OF ORAL IMPLANTOLOGY	1756-2406	DENTISTRY, ORAL SURGERY & MEDICINE
2107	EUR J ORAL SCI	EUROPEAN JOURNAL OF ORAL SCIENCES	0909-8836	DENTISTRY, ORAL SURGERY & MEDICINE
2108	EUR J ORG CHEM	EUROPEAN JOURNAL OF ORGANIC CHEMISTRY	1434-193X	CHEMISTRY, ORGANIC
2109	EUR J ORTHODONT	EUROPEAN JOURNAL OF ORTHODONTICS	0141-5387	DENTISTRY, ORAL SURGERY & MEDICINE
2110	EUR J PAEDIATR NEURO	EUROPEAN JOURNAL OF PAEDIATRIC NEUROLOGY	1090-3798	CLINICAL NEUROLOGY ; PEDIATRICS
2111	EUR J PAIN	EUROPEAN JOURNAL OF PAIN	1090-3801	NEUROSCIENCES; ANESTHESIOLOGY; CLINICAL NEUROLOGY
2112	EUR J PEDIATR	EUROPEAN JOURNAL OF PEDIATRICS	0340-6199	PEDIATRICS
2113	EUR J PHARM BIOPHARM	EUROPEAN JOURNAL OF PHARMACEUTICS AND BIOPHARMACEUTICS	0939-6411	PHARMACOLOGY & PHARMACY
2114	EUR J PHARM SCI	EUROPEAN JOURNAL OF PHARMACEUTICAL SCIENCES	0928-0987	PHARMACOLOGY & PHARMACY
2115	EUR J PHARMACOL	EUROPEAN JOURNAL OF PHARMACOLOGY	0014-2999	PHARMACOLOGY & PHARMACY
2116	EUR J PHILOS SCI	EUROPEAN JOURNAL FOR PHILOSOPHY OF SCIENCE	1879-4912	HISTORY & PHILOSOPHY OF SCIENCE
2117	EUR J PHYCOL	EUROPEAN JOURNAL OF PHYCOLOGY	0967-0262	PLANT SCIENCES; MARINE & FRESHWATER BIOLOGY
2118	EUR J PHYS REHAB MED	EUROPEAN JOURNAL OF PHYSICAL AND REHABILITATION MEDICINE	1973-9087	REHABILITATION
2119	EUR J PLANT PATHOL	EUROPEAN JOURNAL OF PLANT PATHOLOGY	0929-1873	PLANT SCIENCES; HORTICULTURE; AGRONOMY
2120	EUR J PREV CARDIOL	EUROPEAN JOURNAL OF PREVENTIVE CARDIOLOGY	2047-4873	CARDIAC & CARDIOVASCULAR SYSTEMS
2121	EUR J PROTISTOL	EUROPEAN JOURNAL OF PROTISTOLOGY	0932-4739	MICROBIOLOGY
2122	EUR J PUBLIC HEALTH	EUROPEAN JOURNAL OF PUBLIC HEALTH	1101-1262	PUBLIC, ENVIRONMENTAL & OCC
2123	EUR J RADIOL	EUROPEAN JOURNAL OF RADIOLOGY	0720-048X	RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING
2124	EUR J SOIL BIOL	EUROPEAN JOURNAL OF SOIL BIOLOGY	1164-5563	ECOLOGY; SOIL SCIENCE
2125	EUR J SOIL SCI	EUROPEAN JOURNAL OF SOIL SCIENCE	1351-0754	SOIL SCIENCE
2126	EUR J SPORT SCI	EUROPEAN JOURNAL OF SPORT SCIENCE	1746-1391	SPORT SCIENCES
2127	EUR J VASC ENDOVASC	EUROPEAN JOURNAL OF VASCULAR AND ENDOVASCULAR SURGERY	1078-5884	PERIPHERAL VASCULAR DISEASE; SURGERY
2128	EUR J WILDLIFE RES	EUROPEAN JOURNAL OF WILDLIFE RESEARCH	1612-4642	ECOLOGY; ZOOLOGY
2129	EUR J WOOD WOOD PROD	EUROPEAN JOURNAL OF WOOD AND WOOD PRODUCTS	0018-3768	MATERIALS SCIENCE, PAPER & WOOD; FORESTRY
2130	EUR NEUROL	EUROPEAN NEUROLOGY	0014-3022	CLINICAL NEUROLOGY ; NEUROSCIENCES
2131	EUR NEUROPSYCHOPHARM	EUROPEAN NEUROPSYCHOPHARMACOLOGY	0924-977X	PSYCHIATRY; PHARMACOLOGY & PHARMACY; CLINICAL NEUROLOGY ; NEUROSCIENCES
2132	EUR PHYS J A	EUROPEAN PHYSICAL JOURNAL A	1434-6001	PHYSICS, NUCLEAR; PHYSICS, PARTICLES & FIELDS
2133	EUR PHYS J B	EUROPEAN PHYSICAL JOURNAL B	1434-6028	PHYSICS, CONDENSED MATTER
2134	EUR PHYS J C	EUROPEAN PHYSICAL JOURNAL C	1434-6044	PHYSICS, PARTICLES & FIELDS
2135	EUR PHYS J D	EUROPEAN PHYSICAL JOURNAL D	1434-6060	PHYSICS, ATOMIC, MOLECULAR & CHEMICAL; OPTICS
2136	EUR PHYS J E	EUROPEAN PHYSICAL JOURNAL E	1292-8941	MATERIALS SCIENCE, MULTIDISCIPLINARY; CHEMISTRY, PHYSICAL; PHYSICS, APPLIED; POLYMER SCIENCE
2137	EUR PHYS J H	EUROPEAN PHYSICAL JOURNAL H	2102-6459	PHYSICS, MULTIDISCIPLINARY; HISTORY & PHILOSOPHY OF SCIENCE
2138	EUR PHYS J PLUS	EUROPEAN PHYSICAL JOURNAL PLUS	2190-5444	PHYSICS, MULTIDISCIPLINARY
2139	EUR PHYS J-APPL PHYS	EUROPEAN PHYSICAL JOURNAL-APPLIED PHYSICS	1286-0042	PHYSICS, APPLIED
2140	EUR PHYS J-SPEC TOP	EUROPEAN PHYSICAL JOURNAL-SPECIAL TOPICS	1951-6355	PHYSICS, MULTIDISCIPLINARY
2141	EUR POLYM J	EUROPEAN POLYMER JOURNAL	0014-3057	POLYMER SCIENCE
2142	EUR POULTRY SCI	EUROPEAN POULTRY SCIENCE	1612-9199	AGRICULTURE, DAIRY & ANIMAL SCIENCE
2143	EUR PSYCHIAT	EUROPEAN PSYCHIATRY	0924-9338	PSYCHIATRY
2144	EUR RADIOL	EUROPEAN RADIOLOGY	0938-7994	RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING
2145	EUR RESPIR J	EUROPEAN RESPIRATORY JOURNAL	0903-1936	RESPIRATORY SYSTEM
2146	EUR REV AGRIC ECON	EUROPEAN REVIEW OF AGRICULTURAL ECONOMICS	0165-1587	AGRICULTURAL ECONOMICS & POLICY
2147	EUR SPINE J	EUROPEAN SPINE JOURNAL	0940-6719	CLINICAL NEUROLOGY ; ORTHOPEDICS
2148	EUR SURG RES	EUROPEAN SURGICAL RESEARCH	0014-312X	SURGERY
2149	EUR UROL	EUROPEAN UROLOGY	0302-2838	UROLOGY & NEPHROLOGY
2150	EUR UROL SUPPL	EUROPEAN UROLOGY SUPPLEMENTS	1569-9056	UROLOGY & NEPHROLOGY
2151	EURASIP J ADV SIG PR	EURASIP JOURNAL ON ADVANCES IN SIGNAL PROCESSING	1687-6180	ENGINEERING, ELECTRICAL & ELECTRONIC
2152	EURASIP J IMAGE VIDE	EURASIP JOURNAL ON IMAGE AND VIDEO PROCESSING	1687-5281	IMAGING SCIENCE & PHOTOGRAPHIC TECHNOLOGY; ENGINEERING, ELECTRICAL & ELECTRONIC
2153	EUROINTERVENTION	EUROINTERVENTION	1774-024X	CARDIAC & CARDIOVASCULAR SYSTEMS
2154	EUROPACE	EUROPACE	1099-5129	CARDIAC & CARDIOVASCULAR SYSTEMS
2155	EUROSURVEILLANCE	EUROSURVEILLANCE	1560-7917	INFECTIOUS DISEASES
2156	EVAL HEALTH PROF	EVALUATION & THE HEALTH PROFESSIONS	0163-2787	HEALTH CARE SCIENCES & SERVICES
2157	EVID-BASED COMPL ALT	EVIDENCE-BASED COMPLEMENTARY AND ALTERNATIVE MEDICINE	1741-427X	INTEGRATIVE & COMPLEMENTARY MEDICINE
2158	EVODEVO	EVODEVO	2041-9139	DEVELOPMENTAL BIOLOGY
2159	EVOL APPL	EVOLUTIONARY APPLICATIONS	1752-4571	EVOLUTIONARY BIOLOGY
2160	EVOL BIOINFORM	EVOLUTIONARY BIOINFORMATICS	1176-9343	MATHEMATICAL & COMPUTATIONAL BIOLOGY
2161	EVOL BIOL	EVOLUTIONARY BIOLOGY	0071-3260	EVOLUTIONARY BIOLOGY
2162	EVOL COMPUT	EVOLUTIONARY COMPUTATION	1063-6560	COMPUTER SCIENCE, THEORY & METHODS; COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE
2163	EVOL DEV	EVOLUTION & DEVELOPMENT	1520-541X	DEVELOPMENTAL BIOLOGY; GENETICS & HEREDITY; EVOLUTIONARY BIOLOGY
2164	EVOL ECOL	EVOLUTIONARY ECOLOGY	0269-7653	EVOLUTIONARY BIOLOGY; ECOLOGY; GENETICS & HEREDITY
2165	EVOL EQU CONTROL THE	EVOLUTION EQUATIONS AND CONTROL THEORY	2163-2480	MATHEMATICS
2166	EVOL HUM BEHAV	EVOLUTION AND HUMAN BEHAVIOR	1090-5138	BEHAVIORAL SCIENCES
2167	EVOLUTION	EVOLUTION	0014-3820	GENETICS & HEREDITY; EVOLUTIONARY BIOLOGY; ECOLOGY
2168	EXCLI J	EXCLI JOURNAL	1611-2156	BIOLOGY
2169	EXERC IMMUNOL REV	EXERCISE IMMUNOLOGY REVIEW	1077-5552	SPORT SCIENCES; IMMUNOLOGY
2170	EXERC SPORT SCI REV	EXERCISE AND SPORT SCIENCES REVIEWS	0091-6331	SPORT SCIENCES; PHYSIOLOGY
2171	EXP AGING RES	EXPERIMENTAL AGING RESEARCH	0361-073X	PSYCHOLOGY; GERIATRICS & GERONTOLOGY
2172	EXP AGR	EXPERIMENTAL AGRICULTURE	0014-4797	AGRONOMY
2173	EXP ANIM TOKYO	EXPERIMENTAL ANIMALS	1341-1357	ZOOLOGY; VETERINARY SCIENCES
2174	EXP APPL ACAROL	EXPERIMENTAL AND APPLIED ACAROLOGY	0168-8162	ENTOMOLOGY
2175	EXP ASTRON	EXPERIMENTAL ASTRONOMY	0922-6435	ASTRONOMY & ASTROPHYSICS
2176	EXP BIOL MED	EXPERIMENTAL BIOLOGY AND MEDICINE	1535-3702	MEDICINE, RESEARCH & EXPERIMENTAL
2177	EXP BRAIN RES	EXPERIMENTAL BRAIN RESEARCH	0014-4819	NEUROSCIENCES
2178	EXP CELL RES	EXPERIMENTAL CELL RESEARCH	0014-4827	ONCOLOGY; CELL BIOLOGY
2179	EXP CLIN ENDOCR DIAB	EXPERIMENTAL AND CLINICAL ENDOCRINOLOGY & DIABETES	0947-7349	ENDOCRINOLOGY & METABOLISM
2180	EXP CLIN PSYCHOPHARM	EXPERIMENTAL AND CLINICAL PSYCHOPHARMACOLOGY	1064-1297	PHARMACOLOGY & PHARMACY; PSYCHIATRY
2181	EXP DERMATOL	EXPERIMENTAL DERMATOLOGY	0906-6705	DERMATOLOGY
2182	EXP EYE RES	EXPERIMENTAL EYE RESEARCH	0014-4835	OPHTHALMOLOGY
2183	EXP FLUIDS	EXPERIMENTS IN FLUIDS	0723-4864	ENGINEERING, MECHANICAL; MECHANICS
2184	EXP GERONTOL	EXPERIMENTAL GERONTOLOGY	0531-5565	GERIATRICS & GERONTOLOGY
2185	EXP HEAT TRANSFER	EXPERIMENTAL HEAT TRANSFER	0891-6152	THERMODYNAMICS; ENGINEERING, MECHANICAL
2186	EXP HEMATOL	EXPERIMENTAL HEMATOLOGY	0301-472X	MEDICINE, RESEARCH & EXPERIMENTAL; HEMATOLOGY
2187	EXP LUNG RES	EXPERIMENTAL LUNG RESEARCH	0190-2148	RESPIRATORY SYSTEM
2188	EXP MATH	EXPERIMENTAL MATHEMATICS	1058-6458	MATHEMATICS
2189	EXP MECH	EXPERIMENTAL MECHANICS	0014-4851	MECHANICS; MATERIALS SCIENCE, MULTIDISCIPLINARY; MATERIALS SCIENCE, CHARACTERIZATION & TESTING
2190	EXP MOL MED	EXPERIMENTAL AND MOLECULAR MEDICINE	1226-3613	MEDICINE, RESEARCH & EXPERIMENTAL; BIOCHEMISTRY & MOLECULAR BIOLOGY
2191	EXP MOL PATHOL	EXPERIMENTAL AND MOLECULAR PATHOLOGY	0014-4800	PATHOLOGY
2192	EXP NEUROL	EXPERIMENTAL NEUROLOGY	0014-4886	NEUROSCIENCES
2193	EXP PARASITOL	EXPERIMENTAL PARASITOLOGY	0014-4894	PARASITOLOGY
2194	EXP PHYSIOL	EXPERIMENTAL PHYSIOLOGY	0958-0670	PHYSIOLOGY
2195	EXP THERM FLUID SCI	EXPERIMENTAL THERMAL AND FLUID SCIENCE	0894-1777	ENGINEERING, MECHANICAL; PHYSICS, FLUIDS & PLASMAS; THERMODYNAMICS
2196	EXP TOXICOL PATHOL	EXPERIMENTAL AND TOXICOLOGIC PATHOLOGY	0940-2993	TOXICOLOGY; PATHOLOGY
2197	EXPERT OPIN BIOL TH	EXPERT OPINION ON BIOLOGICAL THERAPY	1471-2598	BIOTECHNOLOGY & APPLIED MICROBIOLOGY; MEDICINE, RESEARCH & EXPERIMENTAL
2198	EXPERT OPIN DRUG DEL	EXPERT OPINION ON DRUG DELIVERY	1742-5247	PHARMACOLOGY & PHARMACY
2199	EXPERT OPIN DRUG DIS	EXPERT OPINION ON DRUG DISCOVERY	1746-0441	PHARMACOLOGY & PHARMACY
2200	EXPERT OPIN DRUG MET	EXPERT OPINION ON DRUG METABOLISM & TOXICOLOGY	1742-5255	BIOCHEMISTRY & MOLECULAR BIOLOGY; PHARMACOLOGY & PHARMACY
2201	EXPERT OPIN DRUG SAF	EXPERT OPINION ON DRUG SAFETY	1474-0338	PHARMACOLOGY & PHARMACY
2202	EXPERT OPIN EMERG DR	EXPERT OPINION ON EMERGING DRUGS	1472-8214	PHARMACOLOGY & PHARMACY
2203	EXPERT OPIN INV DRUG	EXPERT OPINION ON INVESTIGATIONAL DRUGS	1354-3784	PHARMACOLOGY & PHARMACY
2204	EXPERT OPIN PHARMACO	EXPERT OPINION ON PHARMACOTHERAPY	1465-6566	PHARMACOLOGY & PHARMACY
2205	EXPERT OPIN THER PAT	EXPERT OPINION ON THERAPEUTIC PATENTS	1354-3776	CHEMISTRY, MEDICINAL; PHARMACOLOGY & PHARMACY
2206	EXPERT OPIN THER TAR	EXPERT OPINION ON THERAPEUTIC TARGETS	1472-8222	PHARMACOLOGY & PHARMACY
2207	EXPERT REV ANTI-INFE	EXPERT REVIEW OF ANTI-INFECTIVE THERAPY	1478-7210	PHARMACOLOGY & PHARMACY
2208	EXPERT REV GASTROENT	EXPERT REVIEW OF GASTROENTEROLOGY & HEPATOLOGY	1747-4124	GASTROENTEROLOGY & HEPATOLOGY
2209	EXPERT REV HEMATOL	EXPERT REVIEW OF HEMATOLOGY	1747-4086	HEMATOLOGY
2210	EXPERT REV MED DEVIC	EXPERT REVIEW OF MEDICAL DEVICES	1743-4440	ENGINEERING, BIOMEDICAL
2211	EXPERT REV MOL DIAGN	EXPERT REVIEW OF MOLECULAR DIAGNOSTICS	1473-7159	PATHOLOGY
2212	EXPERT REV MOL MED	EXPERT REVIEWS IN MOLECULAR MEDICINE	1462-3994	BIOCHEMISTRY & MOLECULAR BIOLOGY; MEDICINE, RESEARCH & EXPERIMENTAL
2213	EXPERT REV NEUROTHER	EXPERT REVIEW OF NEUROTHERAPEUTICS	1473-7175	CLINICAL NEUROLOGY ; PHARMACOLOGY & PHARMACY
2214	EXPERT REV PHARM OUT	EXPERT REVIEW OF PHARMACOECONOMICS & OUTCOMES RESEARCH	1473-7167	PHARMACOLOGY & PHARMACY; HEALTH CARE SCIENCES & SERVICES
2215	EXPERT REV PROTEOMIC	EXPERT REVIEW OF PROTEOMICS	1478-9450	BIOCHEMICAL RESEARCH METHODS
2216	EXPERT REV VACCINES	EXPERT REVIEW OF VACCINES	1476-0584	IMMUNOLOGY
2217	EXPERT SYST	EXPERT SYSTEMS	0266-4720	COMPUTER SCIENCE, THEORY & METHODS
2218	EXPERT SYST APPL	EXPERT SYSTEMS WITH APPLICATIONS	0957-4174	ENGINEERING, ELECTRICAL & ELECTRONIC; COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE; OPERATIONS RESEARCH & MANAGEMENT SCIENCE
2219	EXPO MATH	EXPOSITIONES MATHEMATICAE	0723-0869	MATHEMATICS
2220	EXPRESS POLYM LETT	EXPRESS POLYMER LETTERS	1788-618X	POLYMER SCIENCE
2221	EXTREMES	EXTREMES	1386-1999	MATHEMATICS, INTERDISCIPLINARY APPLICATIONS; STATISTICS & PROBABILITY
2222	EXTREMOPHILES	EXTREMOPHILES	1431-0651	BIOCHEMISTRY & MOLECULAR BIOLOGY; MICROBIOLOGY
2223	EYE	EYE	0950-222X	OPHTHALMOLOGY
2224	EYE CONTACT LENS	EYE & CONTACT LENS-SCIENCE AND CLINICAL PRACTICE	1542-2321	OPHTHALMOLOGY
2225	FACIES	FACIES	0172-9179	PALEONTOLOGY; GEOLOGY
2226	FAM MED	FAMILY MEDICINE	0742-3225	PRIMARY HEALTH CARE; MEDICINE, GENERAL & INTERNAL
2227	FAM PRACT	FAMILY PRACTICE	0263-2136	PRIMARY HEALTH CARE; MEDICINE, GENERAL & INTERNAL
2228	FAM SYST HEALTH	FAMILIES SYSTEMS & HEALTH	1091-7527	HEALTH CARE SCIENCES & SERVICES; PUBLIC, ENVIRONMENTAL & OCC
2229	FARADAY DISCUSS	FARADAY DISCUSSIONS	1359-6640	CHEMISTRY, PHYSICAL
2230	FASEB J	FASEB JOURNAL	0892-6638	BIOCHEMISTRY & MOLECULAR BIOLOGY; BIOLOGY; CELL BIOLOGY
2231	FATIGUE FRACT ENG M	FATIGUE & FRACTURE OF ENGINEERING MATERIALS & STRUCTURES	8756-758X	ENGINEERING, MECHANICAL; MATERIALS SCIENCE, MULTIDISCIPLINARY
2232	FEBS J	FEBS JOURNAL	1742-464X	BIOCHEMISTRY & MOLECULAR BIOLOGY
2233	FEBS LETT	FEBS LETTERS	0014-5793	BIOCHEMISTRY & MOLECULAR BIOLOGY; CELL BIOLOGY; BIOPHYSICS
2234	FEBS OPEN BIO	FEBS OPEN BIO	2211-5463	BIOCHEMISTRY & MOLECULAR BIOLOGY
2235	FEMS MICROBIOL ECOL	FEMS MICROBIOLOGY ECOLOGY	0168-6496	MICROBIOLOGY
2236	FEMS MICROBIOL LETT	FEMS MICROBIOLOGY LETTERS	0378-1097	MICROBIOLOGY
2237	FEMS MICROBIOL REV	FEMS MICROBIOLOGY REVIEWS	0168-6445	MICROBIOLOGY
2238	FEMS YEAST RES	FEMS YEAST RESEARCH	1567-1356	MYCOLOGY; BIOTECHNOLOGY & APPLIED MICROBIOLOGY; MICROBIOLOGY
2239	FERROELECTRICS	FERROELECTRICS	0015-0193	MATERIALS SCIENCE, MULTIDISCIPLINARY; PHYSICS, CONDENSED MATTER
2240	FERROELECTRICS LETT	FERROELECTRICS LETTERS SECTION	0731-5171	PHYSICS, CONDENSED MATTER
2241	FERTIL STERIL	FERTILITY AND STERILITY	0015-0282	OBSTETRICS & GYNECOLOGY; REPRODUCTIVE BIOLOGY
2242	FETAL DIAGN THER	FETAL DIAGNOSIS AND THERAPY	1015-3837	OBSTETRICS & GYNECOLOGY
2243	FETAL PEDIATR PATHOL	FETAL AND PEDIATRIC PATHOLOGY	1551-3815	PATHOLOGY; PEDIATRICS
2244	FEW-BODY SYST	FEW-BODY SYSTEMS	0177-7963	PHYSICS, MULTIDISCIPLINARY
2245	FIBER POLYM	FIBERS AND POLYMERS	1229-9197	MATERIALS SCIENCE, TEXTILES; POLYMER SCIENCE
2246	FIBRES TEXT EAST EUR	FIBRES & TEXTILES IN EASTERN EUROPE	1230-3666	MATERIALS SCIENCE, TEXTILES
2247	FIELD CROP RES	FIELD CROPS RESEARCH	0378-4290	AGRONOMY
2248	FILOMAT	FILOMAT	0354-5180	MATHEMATICS
2249	FINANC STOCH	FINANCE AND STOCHASTICS	0949-2984	STATISTICS & PROBABILITY; MATHEMATICS, INTERDISCIPLINARY APPLICATIONS
2250	FINITE ELEM ANAL DES	FINITE ELEMENTS IN ANALYSIS AND DESIGN	0168-874X	MATHEMATICS, APPLIED; MECHANICS
2251	FINITE FIELDS TH APP	FINITE FIELDS AND THEIR APPLICATIONS	1071-5797	MATHEMATICS; MATHEMATICS, APPLIED
2252	FIRE ECOL	FIRE ECOLOGY	1933-9747	FORESTRY; ECOLOGY
2253	FIRE MATER	FIRE AND MATERIALS	0308-0501	MATERIALS SCIENCE, MULTIDISCIPLINARY
2254	FIRE SAFETY J	FIRE SAFETY JOURNAL	0379-7112	MATERIALS SCIENCE, MULTIDISCIPLINARY; ENGINEERING, CIVIL
2255	FIRE TECHNOL	FIRE TECHNOLOGY	0015-2684	MATERIALS SCIENCE, MULTIDISCIPLINARY; ENGINEERING, MULTIDISCIPLINARY
2256	FISH B-NOAA	FISHERY BULLETIN	0090-0656	FISHERIES
2257	FISH FISH	FISH AND FISHERIES	1467-2960	FISHERIES
2258	FISH OCEANOGR	FISHERIES OCEANOGRAPHY	1054-6006	OCEANOGRAPHY; FISHERIES
2259	FISH PATHOL	FISH PATHOLOGY	0388-788X	VETERINARY SCIENCES; FISHERIES
2260	FISH PHYSIOL BIOCHEM	FISH PHYSIOLOGY AND BIOCHEMISTRY	0920-1742	FISHERIES
2261	FISH RES	FISHERIES RESEARCH	0165-7836	FISHERIES
2262	FISH SHELLFISH IMMUN	FISH & SHELLFISH IMMUNOLOGY	1050-4648	VETERINARY SCIENCES; MARINE & FRESHWATER BIOLOGY; FISHERIES; IMMUNOLOGY
2263	FISHERIES	FISHERIES	0363-2415	FISHERIES
2264	FISHERIES MANAG ECOL	FISHERIES MANAGEMENT AND ECOLOGY	0969-997X	FISHERIES
2265	FISHERIES SCI	FISHERIES SCIENCE	0919-9268	FISHERIES
2266	FITOTERAPIA	FITOTERAPIA	0367-326X	CHEMISTRY, MEDICINAL; PHARMACOLOGY & PHARMACY
2267	FIXED POINT THEOR-RO	FIXED POINT THEORY	1583-5022	MATHEMATICS, APPLIED; MATHEMATICS
2268	FLA ENTOMOL	FLORIDA ENTOMOLOGIST	0015-4040	ENTOMOLOGY
2269	FLAVOUR FRAG J	FLAVOUR AND FRAGRANCE JOURNAL	0882-5734	FOOD SCIENCE & TECHNOLOGY; CHEMISTRY, APPLIED
2270	FLEX SERV MANUF J	FLEXIBLE SERVICES AND MANUFACTURING JOURNAL	1936-6582	ENGINEERING, MANUFACTURING; OPERATIONS RESEARCH & MANAGEMENT SCIENCE
2271	FLORA	FLORA	0367-2530	PLANT SCIENCES; ECOLOGY
2272	FLOW MEAS INSTRUM	FLOW MEASUREMENT AND INSTRUMENTATION	0955-5986	ENGINEERING, MECHANICAL; INSTRUMENTS & INSTRUMENTATION
2273	FLOW TURBUL COMBUST	FLOW TURBULENCE AND COMBUSTION	1386-6184	THERMODYNAMICS; MECHANICS
2274	FLUID PHASE EQUILIBR	FLUID PHASE EQUILIBRIA	0378-3812	THERMODYNAMICS; ENGINEERING, CHEMICAL; CHEMISTRY, PHYSICAL
2275	FLUORIDE	FLUORIDE	0015-4725	TOXICOLOGY; PUBLIC, ENVIRONMENTAL & OCC
2276	FLY	FLY	1933-6934	BIOCHEMISTRY & MOLECULAR BIOLOGY
2277	FOLIA BIOL-PRAGUE	FOLIA BIOLOGICA	0015-5500	BIOLOGY
2278	FOLIA GEOBOT	FOLIA GEOBOTANICA	1211-9520	PLANT SCIENCES
2279	FOLIA MICROBIOL	FOLIA MICROBIOLOGICA	0015-5632	BIOTECHNOLOGY & APPLIED MICROBIOLOGY; MICROBIOLOGY
2280	FOLIA PARASIT	FOLIA PARASITOLOGICA	0015-5683	PARASITOLOGY
2281	FOLIA PRIMATOL	FOLIA PRIMATOLOGICA	0015-5713	ZOOLOGY
2282	FOLIA ZOOL	FOLIA ZOOLOGICA	0139-7893	ZOOLOGY
2283	FOOD ADDIT CONTAM A	FOOD ADDITIVES AND CONTAMINANTS PART A-CHEMISTRY ANALYSIS CONTROL EXPOSURE & RISK ASSESSMENT	1944-0049	TOXICOLOGY; CHEMISTRY, APPLIED; FOOD SCIENCE & TECHNOLOGY
2284	FOOD ADDIT CONTAM B	FOOD ADDITIVES & CONTAMINANTS PART B-SURVEILLANCE	1939-3210	TOXICOLOGY; FOOD SCIENCE & TECHNOLOGY; CHEMISTRY, APPLIED
2285	FOOD AGR IMMUNOL	FOOD AND AGRICULTURAL IMMUNOLOGY	0954-0105	TOXICOLOGY; CHEMISTRY, APPLIED; FOOD SCIENCE & TECHNOLOGY
2286	FOOD ANAL METHOD	FOOD ANALYTICAL METHODS	1936-9751	FOOD SCIENCE & TECHNOLOGY
2287	FOOD BIOPHYS	FOOD BIOPHYSICS	1557-1858	FOOD SCIENCE & TECHNOLOGY
2288	FOOD BIOPROCESS TECH	FOOD AND BIOPROCESS TECHNOLOGY	1935-5130	FOOD SCIENCE & TECHNOLOGY
2289	FOOD BIOPROD PROCESS	FOOD AND BIOPRODUCTS PROCESSING	0960-3085	FOOD SCIENCE & TECHNOLOGY; BIOTECHNOLOGY & APPLIED MICROBIOLOGY; ENGINEERING, CHEMICAL
2290	FOOD CHEM	FOOD CHEMISTRY	0308-8146	NUTRITION & DIETETICS; FOOD SCIENCE & TECHNOLOGY; CHEMISTRY, APPLIED
2291	FOOD CHEM TOXICOL	FOOD AND CHEMICAL TOXICOLOGY	0278-6915	TOXICOLOGY; FOOD SCIENCE & TECHNOLOGY
2292	FOOD CONTROL	FOOD CONTROL	0956-7135	FOOD SCIENCE & TECHNOLOGY
2293	FOOD ENG REV	FOOD ENGINEERING REVIEWS	1866-7910	FOOD SCIENCE & TECHNOLOGY
2294	FOOD ENVIRON VIROL	FOOD AND ENVIRONMENTAL VIROLOGY	1867-0334	VIROLOGY; MICROBIOLOGY; ENVIRONMENTAL SCIENCES
2295	FOOD FUNCT	FOOD & FUNCTION	2042-6496	FOOD SCIENCE & TECHNOLOGY; BIOCHEMISTRY & MOLECULAR BIOLOGY
2296	FOOD HYDROCOLLOID	FOOD HYDROCOLLOIDS	0268-005X	FOOD SCIENCE & TECHNOLOGY; CHEMISTRY, APPLIED
2297	FOOD MICROBIOL	FOOD MICROBIOLOGY	0740-0020	MICROBIOLOGY; FOOD SCIENCE & TECHNOLOGY; BIOTECHNOLOGY & APPLIED MICROBIOLOGY
2298	FOOD NUTR BULL	FOOD AND NUTRITION BULLETIN	0379-5721	FOOD SCIENCE & TECHNOLOGY
2299	FOOD NUTR RES	FOOD & NUTRITION RESEARCH	1654-6628	FOOD SCIENCE & TECHNOLOGY; NUTRITION & DIETETICS
2300	FOOD POLICY	FOOD POLICY	0306-9192	AGRICULTURAL ECONOMICS & POLICY; NUTRITION & DIETETICS; FOOD SCIENCE & TECHNOLOGY
2301	FOOD QUAL PREFER	FOOD QUALITY AND PREFERENCE	0950-3293	FOOD SCIENCE & TECHNOLOGY
2302	FOOD RES INT	FOOD RESEARCH INTERNATIONAL	0963-9969	FOOD SCIENCE & TECHNOLOGY
2303	FOOD REV INT	FOOD REVIEWS INTERNATIONAL	8755-9129	FOOD SCIENCE & TECHNOLOGY; NUTRITION & DIETETICS
2304	FOOD SCI TECHNOL INT	FOOD SCIENCE AND TECHNOLOGY INTERNATIONAL	1082-0132	CHEMISTRY, APPLIED; FOOD SCIENCE & TECHNOLOGY
2305	FOOD SECUR	FOOD SECURITY	1876-4517	FOOD SCIENCE & TECHNOLOGY
2306	FOOD TECHNOL BIOTECH	FOOD TECHNOLOGY AND BIOTECHNOLOGY	1330-9862	FOOD SCIENCE & TECHNOLOGY
2307	FOOD TECHNOL-CHICAGO	FOOD TECHNOLOGY	0015-6639	FOOD SCIENCE & TECHNOLOGY
2308	FOODBORNE PATHOG DIS	FOODBORNE PATHOGENS AND DISEASE	1535-3141	FOOD SCIENCE & TECHNOLOGY
2309	FOOT ANKLE INT	FOOT & ANKLE INTERNATIONAL	1071-1007	ORTHOPEDICS
