Dergi Adı,ISSN,Dergi Puanı,Teşvik Miktarı
JOURNAL OF BUSINESS AND PSYCHOLOGY,0889-3268,49.18,1687.07
Journal of Business Logistics,0735-3766,28.65,807.47
JOURNAL OF BUSINESS & INDUSTRIAL MARKETING,0885-8624,7.37,510.31
Journal of Business Finance & Accounting,0306-686X,11.91,534.3
JOURNAL OF BUSINESS ETHICS,0167-4544,55.69,2120.14
JOURNAL OF BUSINESS & ECONOMIC STATISTICS,0735-0015,100,7500
Journal of Business Economics and Management,1611-1699,6.59,507.79
Journal of Burn Care & Research,1559-047X,30.41,857.07
Journal of BUON,1107-0625,2.41,500.63
Journal of Building Physics,1744-2591,42.74,1335.79
Journal of Building Performance Simulation,1940-1493,55.86,2132.31
JOURNAL OF BRYOLOGY,0373-6687,9.88,521.5
JOURNAL OF BROADCASTING & ELECTRONIC MEDIA,0883-8151,42.65,1331.33
Journal of Bridge Engineering,1084-0702,36.74,1072.67
Journal of Breath Research,1752-7155,28.63,807.08
Journal of Breast Cancer,1738-6756,5.2,504.32
JOURNAL OF THE BRAZILIAN CHEMICAL SOCIETY,0103-5053,6.18,506.64
Journal of the Brazilian Society of Mechanical Sciences and Engineering,1678-5878,8.2,513.46
Jornal Brasileiro de Pneumologia,1806-3713,10.33,524.01
Journal of Bone Oncology,2212-1366,5.15,504.22
JOURNAL OF BONE AND MINERAL RESEARCH,0884-0431,67.31,3101.49
JOURNAL OF BONE AND MINERAL METABOLISM,0914-8779,20.75,637.27
JOURNAL OF BONE AND JOINT SURGERY-BRITISH VOLUME,0301-620X,94.97,6651.89
JOURNAL OF BONE AND JOINT SURGERY-AMERICAN VOLUME,0021-9355,100,7500
JOURNAL OF BLACK STUDIES,0021-9347,18.2,598.97
Journal of Black Psychology,0095-7984,8.67,515.48
JOURNAL OF BIOTECHNOLOGY,0168-1656,22.98,677.24
JOURNAL OF BIOSOCIAL SCIENCE,0021-9320,29.14,820.99
JOURNAL OF BIOSCIENCES,0250-5991,16.22,574.12
JOURNAL OF BIOSCIENCE AND BIOENGINEERING,1389-1723,45.99,1504.2
Journal of Biophotonics,1864-063X,31.17,879.85
Journal of Biopharmaceutical Statistics,1054-3406,15.65,567.8
Journal of Bionic Engineering,1672-6529,34.26,980.95
JOURNAL OF BIOMOLECULAR STRUCTURE & DYNAMICS,0739-1102,15.33,564.36
JOURNAL OF BIOMOLECULAR SCREENING,1087-0571,44.83,1441.81
JOURNAL OF BIOMOLECULAR NMR,0925-2738,100,7500
Journal of Biomedical Semantics,2041-1480,37.64,1108.49
JOURNAL OF BIOMEDICAL SCIENCE,1021-7770,19.75,621.3
JOURNAL OF BIOMEDICAL OPTICS,1083-3668,43.77,1387.32
Journal of Biomedical Nanotechnology,1550-7033,29.49,830.53
JOURNAL OF BIOMEDICAL MATERIALS RESEARCH PART B-APPLIED BIOMATERIALS,1552-4973,39.25,1175.58
JOURNAL OF BIOMEDICAL MATERIALS RESEARCH PART A,1549-3296,44.37,1417.88
JOURNAL OF BIOMEDICAL INFORMATICS,1532-0464,77.09,4153.02
JOURNAL OF BIOMEDICINE AND BIOTECHNOLOGY,1110-7243,24.02,697.92
JOURNAL OF BIOMECHANICAL ENGINEERING-TRANSACTIONS OF THE ASME,0148-0731,32.36,917.14
JOURNAL OF BIOMECHANICS,0021-9290,45.11,1456.55
Journal of Biomaterials and Tissue Engineering,2157-9083,3.08,501.17
JOURNAL OF BIOMATERIALS APPLICATIONS,0885-3282,28.81,811.73
JOURNAL OF BIOMATERIALS SCIENCE-POLYMER EDITION,0920-5063,17.27,586.76
JOURNAL OF BIOLOGICAL SYSTEMS,0218-3390,4.44,502.9
JOURNAL OF BIOLOGICAL RHYTHMS,0748-7304,39.98,1207.43
Journal of Biological Research-Thessaloniki,2241-5793,4.62,503.2
JOURNAL OF BIOLOGICAL REGULATORS AND HOMEOSTATIC AGENTS,0393-974X,14.45,555.56
JOURNAL OF BIOLOGICAL PHYSICS,0092-0606,15.08,561.8
JOURNAL OF BIOLOGICAL INORGANIC CHEMISTRY,0949-8257,53.91,1993.43
Journal of Biological Engineering,1754-1611,18.68,605.57
JOURNAL OF BIOLOGICAL EDUCATION,0021-9266,10.21,523.3
Journal of Biological Dynamics,1751-3758,17.54,590.14
JOURNAL OF BIOLOGICAL CHEMISTRY,0021-9258,33.77,963.88
Journal of Bioinformatics and Computational Biology,0219-7200,11.25,529.71
JOURNAL OF BIOGEOGRAPHY,0305-0270,100,7500
Journal of Bioethical Inquiry,1176-7529,17.79,593.44
JOURNAL OF BIOENERGETICS AND BIOMEMBRANES,0145-479X,20.97,640.93
JOURNAL OF BIOCHEMICAL AND MOLECULAR TOXICOLOGY,1095-6670,15.71,568.48
JOURNAL OF BIOCHEMISTRY,0021-924X,16.27,574.75
Journal of Biobased Materials and Bioenergy,1556-6560,16.36,575.77
JOURNAL OF BIOACTIVE AND COMPATIBLE POLYMERS,0883-9115,18.09,597.41
JOURNAL OF BEHAVIOR THERAPY AND EXPERIMENTAL PSYCHIATRY,0005-7916,38.33,1136.79
JOURNAL OF BEHAVIORAL MEDICINE,0160-7715,59.89,2443.1
JOURNAL OF BEHAVIORAL HEALTH SERVICES & RESEARCH,1094-3412,27.77,784.59
Journal of Behavioral FInance,1542-7560,7.78,511.81
Journal of Behavioral and Experimental Economics,2214-8043,0.1,500
JOURNAL OF BEHAVIORAL DECISION MAKING,0894-3257,61.04,2537.45
Journal of Behavioral Addictions,2062-5871,16.15,573.35
JOURNAL OF BASIC MICROBIOLOGY,0233-111X,10.7,526.22
JOURNAL OF BANKING & FINANCE,0378-4266,21.23,645.32
JOURNAL OF BALTIC STUDIES,0162-9778,22.71,672
Journal of Baltic Science Education,1648-3898,3.85,502.04
Journal of Balkan and Near Eastern Studies,1944-8953,15.72,568.59
Journal of the Balkan Tribological Association,1310-4772,0.35,500.01
JOURNAL OF BACTERIOLOGY,0021-9193,29.38,827.47
JOURNAL OF BACK AND MUSCULOSKELETAL REHABILITATION,1053-8127,26.09,743.31
JOURNAL OF AVIAN MEDICINE AND SURGERY,1082-6742,32.99,937.57
JOURNAL OF AVIAN BIOLOGY,0908-8857,56.9,2209.61
JOURNAL OF AUTOMATED REASONING,0168-7433,34.99,1006.81
JOURNAL OF AUTOIMMUNITY,0896-8411,31.94,903.66
JOURNAL OF AUTISM AND DEVELOPMENTAL DISORDERS,0162-3257,54.69,2048.62
Journal of Australian Political Economy,0156-5826,4.49,502.98
JOURNAL OF THE AUSTRALIAN MATHEMATICAL SOCIETY,1446-7887,15.1,562.07
Journal of the Australian Ceramic Society,0004-881X,25.81,737.01
JOURNAL OF THE AUDIO ENGINEERING SOCIETY,1549-4950,17.27,586.82
Journal of Attention Disorders,1087-0547,43.45,1370.94
JOURNAL OF ATMOSPHERIC AND SOLAR-TERRESTRIAL PHYSICS,1364-6826,22.31,664.64
JOURNAL OF THE ATMOSPHERIC SCIENCES,0022-4928,61.92,2612.04
JOURNAL OF ATMOSPHERIC AND OCEANIC TECHNOLOGY,0739-0572,100,7500
JOURNAL OF ATMOSPHERIC CHEMISTRY,0167-7764,34.56,991.4
JOURNAL OF ATHLETIC TRAINING,1062-6050,65.86,2963.68
Journal of Atherosclerosis and Thrombosis,1340-3478,24.84,715.19
JOURNAL OF ASTROPHYSICS AND ASTRONOMY,0250-6335,1.94,500.36
JOURNAL OF ASTHMA,0277-0903,20.45,632.31
JANAC-JOURNAL OF THE ASSOCIATION OF NURSES IN AIDS CARE,1055-3290,63.43,2743.28
Journal of the Association for Information Systems,1536-9323,84.88,5146.46
Journal of the Association for Information Science and Technology,2330-1635,0.33,500
JOURNAL OF ASSISTED REPRODUCTION AND GENETICS,1058-0468,33.03,938.86
JOURNAL OF ASIAN NATURAL PRODUCTS RESEARCH,1028-6020,15.67,568.02
JOURNAL OF ASIAN EARTH SCIENCES,1367-9120,39,1165.03
JOURNAL OF ASIA-PACIFIC ENTOMOLOGY,1226-8615,21.38,647.95
Journal of the Asia Pacific Economy,1354-7860,3.13,501.22
JOURNAL OF ARTIFICIAL ORGANS,1434-7229,17.48,589.49
JOURNAL OF ARTIFICIAL INTELLIGENCE RESEARCH,1076-9757,61.63,2587.68
Journal of Arthropod-Borne Diseases,2322-1984,5.61,505.21
JOURNAL OF ARTHROPLASTY,0883-5403,61.43,2569.98
Journal of Arid Land,1674-6767,11.5,531.41
JOURNAL OF ARID ENVIRONMENTS,0140-1963,29.61,834.05
JOURNAL OF ARCHITECTURAL AND PLANNING RESEARCH,0738-0895,6.64,507.95
JOURNAL OF ARACHNOLOGY,0161-8202,18.71,606.04
Journal of Aquatic Food Product Technology,1049-8850,17.3,587.19
JOURNAL OF AQUATIC ANIMAL HEALTH,0899-7659,47.42,1584.08
JOURNAL OF APPROXIMATION THEORY,0021-9045,24.05,698.58
JOURNAL OF APPLIED TOXICOLOGY,0260-437X,27.33,773.29
JOURNAL OF APPLIED STATISTICS,0266-4763,5.57,505.12
JOURNAL OF APPLIED SPORT PSYCHOLOGY,1041-3200,63.28,2729.45
Journal of Applied Spectroscopy,0021-9037,4.92,503.75
JOURNAL OF APPLIED SOCIAL PSYCHOLOGY,0021-9029,17.93,595.33
JOURNAL OF APPLIED RESEARCH IN INTELLECTUAL DISABILITIES,1360-2322,40.15,1214.92
Journal of Applied Remote Sensing,1931-3195,18.47,602.63
JOURNAL OF APPLIED PSYCHOLOGY,0021-9010,100,7500
JOURNAL OF APPLIED PROBABILITY,0021-9002,19.37,615.56
JOURNAL OF APPLIED POULTRY RESEARCH,1056-6171,38.2,1131.42
JOURNAL OF APPLIED POLYMER SCIENCE,0021-8995,14.84,559.34
JOURNAL OF APPLIED PHYSIOLOGY,8750-7587,100,7500
JOURNAL OF APPLIED PHYSICS,0021-8979,13.94,550.79
JOURNAL OF APPLIED PHYCOLOGY,0921-8971,44.88,1444.5
Journal of Applied Oral Science,1678-7757,31.95,903.81
JOURNAL OF APPLIED MICROBIOLOGY,1364-5072,20.1,626.72
Journal of Applied Meteorology and Climatology,1558-8424,44.04,1400.94
JOURNAL OF APPLIED MECHANICS-TRANSACTIONS OF THE ASME,0021-8936,23.24,682.35
Journal of Applied Mechanics and Technical Physics,0021-8944,3.35,501.44
Journal of Applied Logic,1570-8683,25.61,732.41
JOURNAL OF APPLIED ICHTHYOLOGY,0175-8659,17.59,590.86
JOURNAL OF APPLIED GERONTOLOGY,0733-4648,26.25,747.15
JOURNAL OF APPLIED GEOPHYSICS,0926-9851,55.88,2134.12
JOURNAL OF APPLIED GENETICS,1234-1983,12.33,537.38
Journal of Applied Fluid Mechanics,1735-3572,20.01,625.36
JOURNAL OF APPLIED ENTOMOLOGY,0931-2048,39.71,1195.67
JOURNAL OF APPLIED ELECTROCHEMISTRY,0021-891X,34.27,981.32
JOURNAL OF APPLIED ECONOMETRICS,0883-7252,51.57,1837.11
Journal of Applied Economics,1514-0326,7.36,510.29
JOURNAL OF APPLIED ECOLOGY,0021-8901,65.63,2942.32
JOURNAL OF APPLIED DEVELOPMENTAL PSYCHOLOGY,0193-3973,43.81,1389.24
JOURNAL OF APPLIED CRYSTALLOGRAPHY,0021-8898,95.69,6769.9
JOURNAL OF APPLIED COMMUNICATION RESEARCH,0090-9882,28.19,795.44
Journal of Applied Clinical Medical Physics,1526-9914,22.61,670.09
JOURNAL OF APPLIED BOTANY AND FOOD QUALITY,1439-040X,6.96,508.96
Journal of Applied Biomedicine,1214-021X,6.9,508.76
JOURNAL OF APPLIED BIOMECHANICS,1065-8483,29.64,834.8
Journal of Applied Biomaterials & Functional Materials,2280-8000,9.58,519.9
JOURNAL OF APPLIED BEHAVIORAL SCIENCE,0021-8863,20.99,641.28
JOURNAL OF APPLIED BEHAVIOR ANALYSIS,0021-8855,15.63,567.65
JOURNAL OF APPLIED ANIMAL WELFARE SCIENCE,1088-8705,49.48,1705.79
JOURNAL OF APPLIED ANIMAL RESEARCH,0971-2119,9.31,518.51
Journal of Applied Analysis and Computation,2156-907X,7.22,509.82
JOURNAL OF APICULTURAL RESEARCH,0021-8839,40.47,1229.53
JOURNAL OF APICULTURAL SCIENCE,1643-4439,14.39,555.03
JOURNAL OF AOAC INTERNATIONAL,1060-3271,24.23,702.21
JOURNAL OF ANXIETY DISORDERS,0887-6185,50,1737.44
JOURNAL OF ANTIMICROBIAL CHEMOTHERAPY,0305-7453,68.58,3226.7
JOURNAL OF ANTIBIOTICS,0021-8820,15.58,567.06
Journal of Anthropological Sciences,1827-4765,37.01,1083.26
JOURNAL OF ANTHROPOLOGICAL RESEARCH,0091-7710,21.43,648.88
Journal of Animal Science and Biotechnology,2049-1891,81.22,4661.54
JOURNAL OF ANIMAL SCIENCE,0021-8812,90.37,5934.37
Journal of Animal and Plant Sciences,1018-7081,15.76,569.01
JOURNAL OF ANIMAL PHYSIOLOGY AND ANIMAL NUTRITION,0931-2439,59.23,2389.92
JOURNAL OF ANIMAL AND FEED SCIENCES,1230-1388,26.16,745.1
JOURNAL OF ANIMAL ECOLOGY,0021-8790,100,7500
JOURNAL OF ANIMAL BREEDING AND GENETICS,0931-2668,74.48,3850.99
Journal of Anesthesia,0913-8668,10.32,523.93
JOURNAL OF ANDROLOGY,0196-3635,39.53,1187.72
JOURNAL OF ANATOMY,0021-8782,59.02,2373.33
JOURNAL OF ANALYTICAL TOXICOLOGY,0146-4760,41.66,1284.18
JOURNAL OF ANALYTICAL PSYCHOLOGY,0021-8774,1.44,500.17
Journal of Analytical Methods in Chemistry,2090-8865,14.9,560
JOURNAL D ANALYSE MATHEMATIQUE,0021-7670,58.37,2321.76
JOURNAL OF ANALYTICAL CHEMISTRY,1061-9348,6.83,508.52
JOURNAL OF ANALYTICAL ATOMIC SPECTROMETRY,0267-9477,51.06,1804.31
JOURNAL OF ANALYTICAL AND APPLIED PYROLYSIS,0165-2370,59.06,2376.5
Journal of Ambient Intelligence and Smart Environments,1876-1364,16.33,575.45
JOURNAL AMERICAN WATER WORKS ASSOCIATION,2164-4535,12.65,539.86
JOURNAL OF THE AMERICAN WATER RESOURCES ASSOCIATION,1093-474X,61.81,2602.96
JOURNAL OF THE AMERICAN STATISTICAL ASSOCIATION,0162-1459,98.58,7254.02
JOURNAL OF THE AMERICAN SOCIETY OF NEPHROLOGY,1046-6673,100,7500
JOURNAL OF THE AMERICAN SOCIETY FOR MASS SPECTROMETRY,1044-0305,61.12,2543.95
JOURNAL OF THE AMERICAN SOCIETY FOR INFORMATION SCIENCE AND TECHNOLOGY,1532-2882,56.61,2188.18
Journal of the American Society of Hypertension,1933-1711,32.5,921.45
JOURNAL OF THE AMERICAN SOCIETY FOR HORTICULTURAL SCIENCE,0003-1062,56.5,2179.65
JOURNAL OF THE AMERICAN SOCIETY OF ECHOCARDIOGRAPHY,0894-7317,60.82,2519.41
JOURNAL OF THE AMERICAN SOCIETY OF BREWING CHEMISTS,0361-0470,15.21,563.15
JOURNAL OF THE AMERICAN PSYCHOANALYTIC ASSOCIATION,0003-0651,19.46,616.96
Journal of the American Psychiatric Nurses Association,1078-3903,41.34,1269.33
JOURNAL OF THE AMERICAN POMOLOGICAL SOCIETY,1527-3741,11,528.09
JOURNAL OF THE AMERICAN PODIATRIC MEDICAL ASSOCIATION,8750-7315,14.25,553.68
JOURNAL OF THE AMERICAN PLANNING ASSOCIATION,0194-4363,100,7500
JOURNAL OF THE AMERICAN PHARMACISTS ASSOCIATION,1544-3191,10.69,526.18
JOURNAL OF THE AMERICAN OIL CHEMISTS SOCIETY,0003-021X,34.97,1006.31
JOURNAL OF THE AMERICAN MOSQUITO CONTROL ASSOCIATION,8756-971X,21.25,645.77
JOURNAL OF THE AMERICAN MEDICAL INFORMATICS ASSOCIATION,1067-5027,100,7500
Journal of the American Medical Directors Association,1525-8610,51.57,1836.63
JOURNAL OF THE AMERICAN MATHEMATICAL SOCIETY,0894-0347,100,7500
JOURNAL OF THE AMERICAN LEATHER CHEMISTS ASSOCIATION,0002-9726,11.6,532.11
JOURNAL OF THE AMERICAN HELICOPTER SOCIETY,0002-8711,64.15,2807.57
Journal of the American Heart Association,2047-9980,64.02,2795.19
JOURNAL OF THE AMERICAN GERIATRICS SOCIETY,0002-8614,100,7500
JOURNAL OF THE AMERICAN DENTAL ASSOCIATION,0002-8177,69.47,3316
JOURNAL OF THE AMERICAN COLLEGE OF SURGEONS,1072-7515,100,7500
Journal of the American College of Radiology,1546-1440,50.06,1741.01
JOURNAL OF THE AMERICAN COLLEGE OF NUTRITION,0731-5724,40.74,1241.6
JOURNAL OF AMERICAN COLLEGE HEALTH,0744-8481,45.11,1456.74
JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY,0735-1097,100,7500
JOURNAL OF THE AMERICAN CHEMICAL SOCIETY,0002-7863,71.01,3474.26
JOURNAL OF THE AMERICAN CERAMIC SOCIETY,0002-7820,89.83,5853.75
Journal of the American Board of Family Medicine,1557-2625,41.43,1273.57
Journal of the American Association of Nurse Practitioners,2327-6886,8.96,516.8
Journal of the American Association for Laboratory Animal Science,1559-6109,42.42,1320.17
JOURNAL OF THE AMERICAN ANIMAL HOSPITAL ASSOCIATION,0587-2871,47.72,1601
JOURNAL OF THE AMERICAN ACADEMY OF PSYCHIATRY AND THE LAW,1093-6793,32.67,927.15
JOURNAL OF THE AMERICAN ACADEMY OF ORTHOPAEDIC SURGEONS,1067-151X,95.2,6689.59
Journal of the American Academy of Nurse Practitioners,1041-2972,48.96,1673.8
JOURNAL OF THE AMERICAN ACADEMY OF DERMATOLOGY,0190-9622,100,7500
JOURNAL OF THE AMERICAN ACADEMY OF CHILD AND ADOLESCENT PSYCHIATRY,0890-8567,100,7500
Journal of the American Academy of Audiology,1050-0545,56.59,2186.04
JOURNAL OF ALZHEIMERS DISEASE,1387-2877,22.6,669.97
JOURNAL OF ALTERNATIVE AND COMPLEMENTARY MEDICINE,1075-5535,6.55,507.69
JOURNAL OF ALLOYS AND COMPOUNDS,0925-8388,70.34,3404.26
JOURNAL OF ALLERGY AND CLINICAL IMMUNOLOGY,0091-6749,62.09,2626.28
JOURNAL OF ALGEBRAIC GEOMETRY,1056-3911,78.04,4266.13
JOURNAL OF ALGEBRA AND ITS APPLICATIONS,0219-4988,19.61,619.14
JOURNAL OF ALGEBRA,0021-8693,30.44,857.9
JOURNAL OF ALGEBRAIC COMBINATORICS,0925-9899,37.61,1107.09
JOURNAL OF AIRCRAFT,0021-8669,38.15,1129.42
JOURNAL OF THE AIR & WASTE MANAGEMENT ASSOCIATION,1096-2247,22.61,670.23
JOURNAL OF AIR TRANSPORT MANAGEMENT,0969-6997,29.8,839.43
JOURNAL OF AGRONOMY AND CROP SCIENCE,0931-2250,55.69,2120.3
Journal of Agrometeorology,0972-1665,5.56,505.1
Journal of Agromedicine,1059-924X,11.14,529.02
Journal of Agrarian Change,1471-0358,73.66,3759.95
JOURNAL OF AGRICULTURAL SCIENCE,0021-8596,14.57,556.74
Journal of Agricultural Science and Technology,1680-7073,24.47,707.24
JOURNAL OF AGRICULTURAL AND RESOURCE ECONOMICS,1068-5502,7.63,511.25
JOURNAL OF AGRICULTURAL AND FOOD CHEMISTRY,0021-8561,97.06,6996.59
JOURNAL OF AGRICULTURAL ECONOMICS,0021-857X,14.08,552.09
JOURNAL OF AGRICULTURAL BIOLOGICAL AND ENVIRONMENTAL STATISTICS,1085-7117,25.92,739.54
JOURNAL OF AGING STUDIES,0890-4065,32.75,929.61
Journal of Aging & Social Policy,0895-9420,20.21,628.5
JOURNAL OF AGING AND PHYSICAL ACTIVITY,1063-8652,68.56,3224.28
JOURNAL OF AGING AND HEALTH,0898-2643,49.58,1711.47
Journal of African Law,0021-8553,2.21,500.51
JOURNAL OF AFRICAN ECONOMIES,0963-8024,11.55,531.71
JOURNAL OF AFRICAN EARTH SCIENCES,1464-343X,18.14,598.1
JOURNAL OF AFFECTIVE DISORDERS,0165-0327,42.53,1325.5
JOURNAL OF AEROSPACE ENGINEERING,0893-1321,47.23,1573.15
Journal of Aerospace Information Systems,1940-3151,0.92,500.06
JOURNAL OF AEROSOL SCIENCE,0021-8502,74.89,3897.6
Journal of Aerosol Medicine and Pulmonary Drug Delivery,1941-2711,31.59,892.63
Journal of Aerospace Computing Information and Communication,1940-3151,32,905.48
JOURNAL OF ADVERTISING RESEARCH,0021-8499,43.16,1356.71
JOURNAL OF ADVERTISING,0091-3367,33.55,956.33
JOURNAL OF ADVANCED TRANSPORTATION,0197-6729,40.77,1242.87
Journal of Advanced Prosthodontics,2005-7806,27.38,774.67
JOURNAL OF ADVANCED OXIDATION TECHNOLOGIES,1203-8407,2.92,501.02
JOURNAL OF ADVANCED NURSING,0309-2402,97.61,7089.54
Journal of Advances in Modeling Earth Systems,1942-2466,100,7500
Journal of Advanced Mechanical Design Systems and Manufacturing,1881-3054,7.41,510.45
Journal of Advanced Concrete Technology,1346-8014,29.8,839.43
JOURNAL OF ADULT DEVELOPMENT,1068-0667,8.8,516.07
JOURNAL OF ADOLESCENT RESEARCH,0743-5584,31.02,875.16
JOURNAL OF ADOLESCENT HEALTH,1054-139X,93.75,6456.98
JOURNAL OF ADOLESCENCE,0140-1971,41.63,1282.86
JOURNAL OF ADOLESCENT & ADULT LITERACY,1081-3004,18.2,598.94
JOURNAL OF ADHESION,0021-8464,22.72,672.16
JOURNAL OF ADHESION SCIENCE AND TECHNOLOGY,0169-4243,16.77,580.63
JOURNAL OF ADHESIVE DENTISTRY,1461-5185,37.83,1116.14
Journal of Addictions Nursing,1088-4602,22.39,666.01
Journal of Addiction Medicine,1932-0620,58.38,2323
JOURNAL OF ADDICTIVE DISEASES,1055-0887,57.14,2227.84
JOURNAL OF THE ACOUSTICAL SOCIETY OF AMERICA,0001-4966,49.84,1727.68
JOURNAL OF THE ACM,0004-5411,100,7500
JOURNAL OF ACCOUNTING RESEARCH,0021-8456,66.28,3003.84
JOURNAL OF ACCOUNTING AND PUBLIC POLICY,0278-4254,29.7,836.63
JOURNAL OF ACCOUNTING & ECONOMICS,0165-4101,82.2,4787.79
Journal of the Academy of Nutrition and Dietetics,2212-2672,51.85,1855.22
JOURNAL OF THE ACADEMY OF MARKETING SCIENCE,0092-0703,56.37,2170.3
JOURNAL OF ACADEMIC LIBRARIANSHIP,0099-1333,18.16,598.37
JOURNAL OF ABNORMAL PSYCHOLOGY,0021-843X,100,7500
JOURNAL OF ABNORMAL CHILD PSYCHOLOGY,0091-0627,71.33,3508.1
JOURNAL OF AAPOS,1091-8531,18.68,605.63
IZVESTIYA-PHYSICS OF THE SOLID EARTH,1069-3513,3.81,501.99
IZVESTIYA MATHEMATICS,1064-5632,30.56,861.33
IZVESTIYA ATMOSPHERIC AND OCEANIC PHYSICS,0001-4338,6.49,507.5
IUBMB LIFE,1521-6543,20.91,639.91
ITEA-Informacion Tecnica Economica Agraria,1699-6887,12.2,536.38
ITE JOURNAL-INSTITUTE OF TRANSPORTATION ENGINEERS,0162-8178,2.34,500.59
ITALIAN JOURNAL OF ZOOLOGY,1125-0003,16.43,576.56
Italian Journal of Remote Sensing-Rivista Italiana di Telerilevamento,1129-8596,6.26,506.87
Italian Journal of Pediatrics,1720-8424,22.83,674.31
Italian Journal of Geosciences,2038-1719,14.79,558.87
ITALIAN JOURNAL OF FOOD SCIENCE,1120-1770,7.65,511.33
Italian Journal of Animal Science,1594-4077,25.48,729.37
Italian Journal of Agrometeorology-Rivista Italiana di Agrometeorologia,2038-5625,8.1,513.06
IT Professional,1520-9202,25.33,726.13
ISSUES IN SCIENCE AND TECHNOLOGY,0748-5492,22.96,676.88
ISRAEL MEDICAL ASSOCIATION JOURNAL,1565-1088,4.35,502.76
ISRAEL JOURNAL OF VETERINARY MEDICINE,0334-9152,12.22,536.57
ISRAEL JOURNAL OF PSYCHIATRY AND RELATED SCIENCES,0333-7308,11.99,534.84
ISRAEL JOURNAL OF PLANT SCIENCES,0792-9978,5.8,505.67
ISRAEL JOURNAL OF MATHEMATICS,0021-2172,48.61,1652.97
Israel Journal of Health Policy Research,2045-4015,15.94,570.97
Israel Journal of Ecology & Evolution,1565-9801,5.81,505.69
ISRAEL JOURNAL OF CHEMISTRY,0021-2148,19.77,621.6
ISRAELI JOURNAL OF AQUACULTURE-BAMIDGEH,0792-156X,3.06,501.15
Israel Affairs,1353-7121,8.52,514.81
ISPRS JOURNAL OF PHOTOGRAMMETRY AND REMOTE SENSING,0924-2716,60,2451.98
ISOTOPES IN ENVIRONMENTAL AND HEALTH STUDIES,1025-6016,27.02,765.73
ISOKINETICS AND EXERCISE SCIENCE,0959-3020,9.73,520.67
ISME Journal,1751-7362,100,7500
Islets,1938-2014,18.95,609.46
Island Studies Journal,1715-2593,27.18,769.67
ISLAND ARC,1038-4871,18.77,606.82
ISJ-Invertebrate Survival Journal,1824-307X,22.1,660.72
ISIJ INTERNATIONAL,0915-1559,51.54,1835.17
ISI Bilimi ve Teknigi Dergisi-Journal of Thermal Science and Technology,1300-3615,3.75,501.9
ISA TRANSACTIONS,0019-0578,42.69,1333.35
IRRIGATION SCIENCE,0342-7188,71.16,3490.01
IRRIGATION AND DRAINAGE,1531-0353,17.56,590.5
IRONMAKING & STEELMAKING,0301-9233,33.96,970.44
IRISH VETERINARY JOURNAL,0368-0762,24.15,700.69
Irish Political Studies,0790-7184,9.77,520.89
IRISH JOURNAL OF MEDICAL SCIENCE,0021-1265,3.05,501.14
IRISH JOURNAL OF AGRICULTURAL AND FOOD RESEARCH,0791-6833,52.01,1865.27
Irish Educational Studies,0332-3315,12.35,537.51
IRBM,1959-0318,3.06,501.14
Iranian Red Crescent Medical Journal,2074-1804,1.86,500.33
IRANIAN POLYMER JOURNAL,1026-1265,11.14,528.99
Iranian Journal of Veterinary Research,1728-1997,12.22,536.57
Iranian Journal of Science and Technology Transaction A-Science,1028-6276,1.37,500.15
Iranian Journal of Radiology,1735-1065,4.84,503.62
Iranian Journal of Radiation Research,1728-4554,7.44,510.57
Iranian Journal of Public Health,2251-6085,5.32,504.57
Iranian Journal of Pharmaceutical Research,1735-0328,3.21,501.29
Iranian Journal of Pediatrics,2008-2142,5.72,505.49
Iranian Journal of Parasitology,1735-7020,6.17,506.63
Iranian Journal of Kidney Diseases,1735-8582,9.83,521.2
Iranian Journal of Immunology,1735-1383,2.54,500.72
Iranian Journal of Fuzzy Systems,1735-0654,4.49,502.99
IRANIAN JOURNAL OF FISHERIES SCIENCES,1562-2916,2.99,501.08
Iranian Journal of Environmental Health Science & Engineering,1735-1979,11.99,534.86
IRANIAN JOURNAL OF CHEMISTRY & CHEMICAL ENGINEERING-INTERNATIONAL ENGLISH EDITION,1021-9986,4.19,502.52
Iranian Journal of Biotechnology,1728-3043,2.55,500.73
Iranian Journal of Basic Medical Sciences,2008-3866,3.62,501.75
Iranian Journal of Allergy Asthma and Immunology,1735-1502,3.65,501.79
IRAL-INTERNATIONAL REVIEW OF APPLIED LINGUISTICS IN LANGUAGE TEACHING,1613-4141,10.4,524.4
IPPOLOGIA,1120-5776,2.5,500.69
IOWA LAW REVIEW,0021-0552,42.8,1339.03
IONICS,0947-7047,20.83,638.63
Inzinerine Ekonomika-Engineering Economics,1392-2785,2.82,500.94
Investigacion Bibliotecologica,0187-358X,3.29,501.37
INVESTIGATIVE RADIOLOGY,0020-9996,87.83,5560.87
INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE,0146-0404,60.36,2481.28
INVESTIGATIONAL NEW DRUGS,0167-6997,23.03,678.11
Investigacion Economica,0185-1667,1.26,500.12
INVESTIGACION CLINICA,0535-5133,2.42,500.64
Investment Analysts Journal,1029-3523,2.27,500.55
INVERTEBRATE SYSTEMATICS,1445-5226,58.68,2346.32
INVERTEBRATE REPRODUCTION & DEVELOPMENT,0792-4259,15.24,563.48
